(4461, 1167, 0)
(4454, 1167, 0)
(4448, 1171, 0)
(4443, 1172, 0)
(4442, 1176, 0)
(4442, 1182, 0)
(4447, 1186, 0)
(4448, 1186, 0)
(4449, 1189, 0)
(4452, 1189, 0)
(4456, 1190, 0)
(4460, 1190, 0)
(4464, 1190, 0)
(4468, 1189, 0)
(4472, 1189, 0)
(4476, 1189, 0)
(4480, 1190, 0)
(4484, 1190, 0)
(4487, 1185, 0)
(4487, 1182, 0)
(4487, 1178, 0)
(4491, 1176, 0)
(4491, 1173, 0)
(4491, 1170, 0)
(4495, 1164, 0)
(4495, 1158, 0)
(4495, 1155, 0)
(4495, 1149, 0)
(4495, 1146, 0)
(4499, 1142, 0)
(4503, 1134, 0)
(4503, 1128, 0)
(4503, 1125, 0)
(4503, 1122, 0)
(4503, 1116, 0)
(4503, 1110, 0)
(4503, 1104, 0)
(4503, 1101, 0)
(4503, 1098, 0)
(4507, 1089, 0)
(4505, 1086, 0)
(4507, 1080, 0)
(4507, 1077, 0)
(4507, 1074, 0)
(4505, 1072, 0)
(4506, 1064, 0)
(4505, 1059, 0)
(4505, 1056, 0)
(4505, 1053, 0)
(4508, 1052, 0)
(4512, 1052, 0)
(4521, 1050, 0)
(4529, 1042, 0)
(4532, 1042, 0)
(4537, 1039, 0)
(4540, 1039, 0)
(4548, 1036, 0)
(4552, 1036, 0)
(4556, 1036, 0)
(4560, 1036, 0)
(4561, 1038, 0)
(4563, 1041, 0)
(4563, 1044, 0)
(4563, 1047, 0)
(4563, 1050, 0)
(4563, 1053, 0)
(4557, 1059, 0)
(4552, 1063, 0)
(4549, 1066, 0)
(4549, 1072, 0)
(4549, 1074, 0)
(4549, 1077, 0)
(4549, 1080, 0)
(4549, 1086, 0)
(4544, 1090, 0)
(4540, 1093, 0)
(4536, 1093, 0)
(4532, 1094, 0)
(4530, 1097, 0)
(4531, 1102, 0)
(4531, 1105, 0)
(4531, 1111, 0)
(4531, 1115, 0)
(4531, 1119, 0)
(4531, 1124, 0)
(4531, 1134, 0)
(4531, 1137, 0)
(4531, 1143, 0)
(4531, 1150, 0)
(4531, 1155, 0)
(4528, 1160, 0)
(4524, 1163, 0)
(4520, 1163, 0)
(4516, 1166, 0)
(4512, 1166, 0)
(4515, 1170, 0)
(4515, 1174, 0)
(4508, 1175, 0)
(4507, 1181, 0)
(4507, 1182, 0)
(4507, 1186, 0)
(4503, 1192, 0)
(4496, 1195, 0)
(4491, 1195, 0)
(4487, 1195, 0)
(4483, 1195, 0)
(4483, 1200, 0)
(4481, 1203, 0)
(4481, 1206, 0)
(4481, 1210, 0)
(4476, 1207, 0)
(4472, 1207, 9)
(4465, 1212, 0)
(4461, 1218, 0)
(4456, 1216, 0)
(4452, 1219, 0)
(4448, 1216, 0)
(4438, 1209, 0)
(4437, 1202, 0)
(4433, 1197, 0)
(4433, 1194, 0)
(4428, 1193, 0)
(4420, 1195, 0)
(4412, 1195, 0)
(4408, 1195, 0)
(4400, 1195, 0)
(4396, 1193, 0)
(4392, 1192, 0)
(4388, 1195, 0)
(4384, 1199, 0)
(4381, 1203, 0)
(4376, 1205, 0)
(4375, 1211, 6)
(4372, 1211, 8)
(4368, 1211, 8)
(4367, 1209, 8)
(4365, 1206, 8)
(4365, 1203, 8)
(4365, 1197, 8)
(4360, 1193, 10)
(4360, 1189, 6)
(4356, 1189, 0)
(4355, 1185, 10)
(4355, 1182, 10)
(4355, 1179, 8)
(4353, 1176, 0)
(4353, 1173, 0)
(4353, 1167, 0)
(4353, 1161, 0)
(4356, 1159, 10)
(4358, 1155, 6)
(4357, 1152, 0)
(4357, 1149, 0)
(4357, 1146, 0)
(4357, 1143, 0)
(4359, 1143, 2)
(4360, 1142, 8)
(4364, 1142, 10)
(4368, 1141, 10)
(4367, 1145, 10)
(4368, 1148, 2)
(4372, 1148, 0)
(4373, 1152, 0)
(4373, 1156, 0)
(4373, 1164, 0)
(4373, 1174, 2)
(4377, 1175, 0)
(4378, 1180, 0)
(4380, 1182, 2)
(4385, 1183, 0)
(4390, 1187, 0)
(4392, 1187, 0)
(4396, 1187, 0)
(4403, 1187, 0)
(4403, 1179, 0)
(4408, 1181, 0)
(4411, 1183, 0)
(4415, 1185, 0)
(4417, 1183, 0)
(4419, 1182, 0)
(4424, 1181, 0)
(4432, 1180, 0)
(4436, 1184, 0)
(4442, 1178, 0)
(4442, 1172, 0)
(4450, 1169, 0)
(4457, 1167, 0)
(4461, 1167, 0)
